,Price,Year,Mileage,Tank capacity,Fuel type,Model,Estimation
0,24900,2010,166000,1390,1,16,0
1,16500,2007,194000,1968,7,39,0
2,364510,2022,5400,1968,7,8,0
3,9999,2005,196425,1390,1,35,2
4,39900,2010,227000,1968,7,32,0
5,139900,2020,149000,1968,7,32,3
6,54000,2012,160000,1968,7,44,2
7,110000,2019,73000,1984,1,44,0
8,24500,2008,266000,1968,7,44,0
9,7200,2005,333000,1896,7,35,0
10,23500,2009,207500,1595,1,16,0
11,46000,2014,225715,1968,7,32,2
12,7800,2004,320000,1896,7,32,2
13,17800,2005,132400,1595,1,16,0
14,132900,2019,34700,1498,1,2,2
15,24500,2007,144000,1595,1,16,0
16,132500,2018,199000,1968,7,2,3
17,39900,2008,225100,1968,7,44,3
18,85000,2016,153000,1968,7,32,3
19,85300,2018,140474,1968,7,32,2
20,7999,2005,214000,1422,7,35,3
21,11899,2007,222000,1198,1,35,3
22,17999,2006,127000,1896,7,16,3
23,14700,2013,181100,1598,7,35,0
24,22500,2015,180000,999,1,49,2
25,75000,2014,270000,1968,7,32,0
26,23800,2009,249000,1595,1,16,3
27,11000,2006,322255,1968,7,32,1
28,22900,2011,247100,1598,7,16,0
29,63900,2015,155000,1984,1,16,2
30,14999,2006,240000,1968,7,47,0
31,18300,2009,224893,1198,1,35,2
32,27500,2009,307968,1896,7,7,0
33,112177,2017,82000,1968,7,32,0
34,24900,2009,171000,1390,1,16,2
35,95800,2017,178621,1968,7,44,3
36,8900,2000,264000,1896,7,32,0
37,41900,2011,175000,1968,7,32,3
38,56900,2015,107500,1395,1,16,2
39,58900,2015,291000,1968,7,32,2
40,12900,2005,256210,1968,7,47,2
41,76500,2019,64500,1498,1,16,2
42,119999,2021,85000,1968,7,2,0
43,18400,2011,242750,1198,1,35,1
44,99900,2018,170000,1968,7,44,2
45,89600,2017,222000,1968,7,44,3
46,95000,2016,161174,1968,7,32,3
47,44900,2011,242000,1968,7,44,2
48,17900,2007,183000,1390,1,16,2
49,110500,2012,260500,1968,7,48,0
50,13900,2004,235000,1390,1,16,0
51,89000,2018,50391,1395,1,7,2
52,66900,2019,169971,1498,1,32,2
53,32900,2009,249000,1968,7,10,0
54,110900,2021,23800,1498,1,47,2
55,71900,2018,114000,1395,1,32,2
56,19900,2006,242000,1595,1,7,2
57,68500,2016,204600,1598,7,32,3
58,18900,2013,336500,1199,7,35,2
59,114900,2017,83200,1968,7,32,3
60,112750,2018,101000,1984,1,44,2
61,129000,2022,3000,1498,1,7,2
62,5900,2006,190300,1595,1,16,0
63,85200,2018,96000,1498,1,16,2
64,55900,2014,204000,1968,7,32,2
65,19700,2008,268000,1896,7,47,2
66,51000,1967,51000,1300,1,15,0
67,20000,2006,302000,1968,7,16,3
68,29950,2012,241000,1598,7,16,2
69,43300,2014,83000,1197,1,16,2
70,119000,2019,72300,1968,7,44,2
71,72000,2019,110000,1498,1,16,0
72,9500,2004,246283,1984,1,16,0
73,28700,2012,256000,1598,7,32,2
74,13000,2009,177000,1896,7,16,0
75,67900,2010,307000,4134,7,46,2
76,64900,2015,126000,1968,7,32,2
77,73000,2015,203000,1968,7,32,2
78,83000,2014,99900,1984,1,16,0
79,22500,2009,292000,1968,7,16,2
80,55000,2010,101000,1984,1,16,3
81,88900,2020,22000,999,1,41,2
82,53000,2015,124000,1598,7,16,3
83,13900,2006,350000,1896,7,16,2
84,9900,2005,124206,1198,1,35,3
85,18900,2008,174215,1390,1,16,2
86,33900,2011,106765,1390,1,16,2
87,12900,2009,61000,1198,1,14,0
88,3999,2000,141000,999,1,35,3
89,51700,2017,146550,1598,7,16,2
90,133455,2020,44700,1498,1,16,3
91,69999,2016,212000,1968,7,32,2
92,18700,2012,149211,1198,1,35,2
93,20000,2009,354000,2460,7,48,0
94,35000,2011,341637,1968,7,47,3
95,15900,2005,219860,1390,1,16,0
96,28900,2010,218056,1598,7,16,3
97,66900,2014,124532,1968,7,44,2
98,86900,2020,174000,1968,7,32,0
99,26200,2009,194400,1390,1,16,0
100,299999,2018,64000,2967,7,46,3
101,52800,2016,170000,1798,1,16,0
102,5500,2007,270000,1198,1,35,0
103,37500,2013,78350,1390,1,35,3
104,40000,2010,202000,1984,1,16,1
105,19999,2009,252000,1968,7,32,2
106,49900,2014,246000,1968,7,47,3
107,32900,2011,108500,1798,1,32,1
108,23600,2008,197600,1390,1,38,1
109,56500,2016,299000,1598,7,47,2
110,21500,2010,302000,1598,7,16,2
111,79900,2017,100000,1968,7,32,2
112,12500,2004,166000,1984,1,32,3
113,74600,2017,264007,1968,7,32,2
114,9500,1999,290000,1984,1,4,0
115,8900,2001,336000,1896,7,32,3
116,9500,2002,260000,1896,7,4,3
117,38900,2011,170000,1390,1,44,2
118,18900,2012,136000,1390,1,16,0
119,8900,2001,190049,1595,1,4,3
120,12900,2007,178300,1198,1,35,3
121,24700,2010,281000,1896,7,7,2
122,14000,2003,170000,1984,1,16,0
123,9800,2003,227000,1896,7,16,0
124,65000,2016,162000,1598,7,32,2
125,71500,2020,17200,1498,1,41,0
126,45500,2019,145700,1598,7,16,0
127,44900,2014,131000,1598,7,32,3
128,51000,2016,171000,1598,7,16,2
129,156000,2019,100537,1984,1,2,3
130,129900,2018,85000,1968,7,2,2
131,7600,2004,166000,1198,1,35,2
132,85000,2015,90000,1984,1,16,2
133,85000,2015,82866,1984,1,16,0
134,71800,2014,75000,1968,7,44,3
135,17900,2005,213000,1984,1,32,0
136,38900,2013,150000,1598,7,16,2
137,13900,2005,241000,1984,1,32,2
138,139900,2018,63000,1968,7,2,2
139,127000,2021,11000,1498,1,7,3
140,16900,2009,237000,1896,7,16,2
141,132000,2016,157630,2967,7,46,2
142,33900,2008,194000,1984,1,44,2
143,64800,2017,199000,1395,1,32,2
144,42000,1996,451101,2370,7,48,0
145,42500,2014,210000,1968,7,32,2
146,58000,2016,169000,1984,1,44,2
147,26000,2006,194000,1390,1,47,0
148,69900,2016,195000,1968,7,32,2
149,255000,2018,125000,2967,7,46,2
150,31999,2012,214000,1598,7,16,2
151,267000,2018,99229,1968,7,30,3
152,43900,2016,89000,1197,1,47,0
153,80000,2017,80824,1968,7,7,2
154,34500,2016,110000,999,1,49,3
155,26700,2009,349000,1968,7,7,3
156,19999,2009,159000,1198,1,35,0
157,15000,2013,250000,999,1,49,0
158,74500,2015,253000,1968,7,32,3
159,119999,2019,71000,1498,1,44,2
160,18900,2005,215497,1968,7,32,0
161,12900,2008,170000,1198,1,35,1
162,109000,2014,263500,1968,7,30,2
163,39900,2017,181810,1598,7,16,0
164,46500,2015,197000,1598,7,32,1
165,27900,2013,160000,1390,1,44,0
166,6900,1990,348299,1781,2,25,0
167,106900,2017,91000,1984,1,44,2
168,84900,2018,85500,1968,7,16,2
169,52600,2014,281787,1968,7,7,3
170,17500,2007,192000,1896,7,16,2
171,18000,2006,253444,1896,7,25,0
172,55777,2016,85743,1197,1,16,2
173,6900,2003,274000,1390,2,16,1
174,55000,2015,146000,1984,1,16,0
175,45000,2017,183500,1598,7,16,1
176,99000,2018,30380,1968,7,32,2
177,5500,2001,224104,1896,7,16,0
178,9900,2003,187000,1598,1,16,3
179,13400,2006,200000,1968,7,47,1
180,119000,2021,51000,1498,1,41,3
181,29999,2011,273000,1968,7,32,2
182,20999,2008,240000,1798,1,10,0
183,53900,2011,169000,1968,7,44,2
184,21500,2010,165000,1197,1,16,2
185,31900,2012,191000,1598,7,47,1
186,75999,2017,205000,1968,7,32,2
187,42000,2013,207000,1598,7,16,2
188,34900,2016,114000,1968,7,7,0
189,5000,1995,400000,1893,7,48,1
190,28000,1999,460427,2461,7,9,0
191,113160,2015,257000,1968,7,30,2
192,55500,2014,139000,1984,1,10,1
193,3900,2004,215000,1198,1,35,0
194,94000,2018,77040,1498,1,41,2
195,320000,2020,51000,1968,7,30,2
196,4900,2003,178000,1390,1,4,0
197,79900,2019,37000,1984,1,44,0
198,119900,2018,42000,1498,1,44,2
199,8600,2008,330000,1968,7,32,0
200,28700,2015,432253,1598,7,16,1
201,32500,2012,214300,1197,1,16,3
202,13900,2004,234000,1598,1,16,3
203,20700,2009,195912,1198,2,35,3
204,69900,2015,93719,1968,7,32,2
205,86900,2017,93000,1968,7,32,2
206,87000,2013,138000,2967,7,46,0
207,11900,2009,131000,1198,1,35,2
208,41000,2011,252000,1968,7,32,2
209,59900,2012,160000,1968,7,39,3
210,28900,2012,346000,1598,7,7,2
211,25900,2006,246000,1968,7,39,0
212,109700,2002,190144,2500,7,30,0
213,68000,2011,264000,1968,7,1,3
214,21999,2012,238000,1598,7,16,0
215,96000,2018,127600,1968,7,16,3
216,16999,2007,165700,1390,1,25,2
217,62730,2012,217000,2967,7,34,2
218,18999,2009,172600,1598,7,16,2
219,72000,2013,334000,1968,7,1,3
220,9900,2005,327000,1984,1,32,0
221,33900,2010,350000,1968,7,32,0
222,10500,2008,298000,1395,1,16,0
223,96900,2020,169000,1598,7,41,2
224,59900,2014,187000,1968,7,44,2
225,33950,2008,216000,1968,7,44,2
226,212182,2019,82493,1984,1,32,0
227,135000,2018,152000,1968,7,2,2
228,93000,2015,138813,1968,7,32,0
229,15999,2009,178302,1198,1,35,3
230,35900,2009,121000,1390,1,44,2
231,39500,2009,218000,1390,1,38,0
232,34900,2010,182258,1390,1,44,2
233,23000,2007,73292,1390,1,16,0
234,95777,2001,480000,2461,7,8,0
235,44900,2013,278000,1968,7,7,2
236,42900,2013,177000,1390,1,32,2
237,259100,2022,8400,1984,1,16,2
238,29999,2011,189995,1598,7,25,2
239,32900,2011,109000,1390,1,25,2
240,69990,2017,127000,1968,7,16,2
241,59800,2012,267841,1968,7,12,3
242,29000,2008,34075,1390,1,25,0
243,13500,2008,235000,1422,7,35,0
244,7500,2000,298000,1598,1,16,3
245,68900,2018,170000,1968,7,32,2
246,84999,2016,106000,1999,7,47,0
247,8900,2003,282000,1984,1,32,2
248,30500,2008,215000,1390,1,44,2
249,14500,2005,136820,1390,1,35,0
250,77500,2016,107363,1984,1,10,3
251,70000,2017,283000,1968,7,32,2
252,55900,2022,10000,999,1,35,0
253,18900,2004,153000,2771,1,32,0
254,103500,2018,138263,1984,1,2,1
255,189000,2023,2,1498,1,32,2
256,13500,2005,314023,1896,7,39,2
257,12500,1996,110000,1781,1,16,0
258,45800,2015,126400,1395,1,16,1
259,14300,2005,312000,1896,7,16,2
260,35000,2006,195000,3597,1,32,3
261,42500,2008,245000,2967,7,46,3
262,55500,2019,146314,1598,7,16,2
263,9700,2003,376000,1896,7,32,0
264,26000,2009,126000,1390,1,7,0
265,8300,2004,116000,1198,1,35,3
266,109900,2019,90000,1968,7,44,1
267,27900,2010,111000,1896,7,4,3
268,13700,2003,254000,1896,7,32,0
269,24900,2012,146000,1598,7,35,2
270,4999,1996,179793,1781,1,16,2
271,21700,2005,242000,1900,7,7,3
272,6999,2003,163043,1984,1,32,1
273,130000,2017,142000,1968,7,2,2
274,49600,2015,100000,1598,7,16,2
275,22500,2008,178000,1595,2,16,2
276,65900,2017,57000,1968,7,7,0
277,64500,2009,219000,2967,7,46,3
278,18450,2006,561895,1896,7,48,0
279,38900,2013,281951,1968,7,32,2
280,64500,2018,250000,1968,7,32,1
281,16500,2007,263867,1896,7,16,2
282,4400,2002,178041,1422,7,35,2
283,12900,2006,182000,1198,1,35,3
284,49900,2012,221000,1968,7,32,3
285,102700,2016,149000,1968,7,32,3
286,35000,2005,311000,2460,7,46,0
287,23900,2008,279000,1968,7,39,3
288,55900,2018,85200,999,1,16,2
289,56200,2017,87500,1968,7,25,1
290,17900,2008,194000,1395,1,16,2
291,34440,2020,100000,1968,7,32,0
292,56900,2014,214000,1968,7,32,3
293,7500,2004,477270,1896,7,32,2
294,331838,2021,38296,2967,7,46,2
295,119000,2019,118000,1984,1,16,3
296,135000,2019,30500,1498,1,44,2
297,37900,2019,212000,1968,7,47,0
298,56900,2016,122000,1968,7,16,2
299,147900,2017,69194,1984,1,30,0
300,19999,2008,285000,1896,7,7,3
301,44900,2015,174000,1598,7,16,2
302,23900,2000,340932,2461,7,9,0
303,85000,2018,135000,1968,7,32,2
304,47900,2015,217300,1598,7,32,1
305,59700,2015,236500,1968,7,32,2
306,196900,2022,16700,1984,1,2,2
307,55900,2015,192000,1598,7,47,2
308,121999,2019,32808,1498,1,41,2
309,6300,1999,247000,1390,1,16,0
310,59999,2018,228000,1968,7,32,1
311,43600,2018,218000,1598,7,16,1
312,6500,2001,260000,1390,1,16,0
313,86900,2018,66303,1984,1,32,0
314,34500,2009,237563,1984,2,44,2
315,56900,2013,112000,1984,1,44,2
316,88000,2018,151320,1968,7,32,2
317,72899,2017,188246,1968,7,32,3
318,93900,2018,49100,1798,1,32,2
319,26999,2012,249000,1598,7,16,1
320,67000,2016,91000,1984,1,44,0
321,320000,2018,86000,2967,7,46,3
322,16800,2006,170000,1390,1,16,2
323,4500,1999,432000,1896,7,16,0
324,22500,2010,97630,1390,1,16,0
325,44900,2016,107000,1598,7,16,2
326,7900,2005,110707,1390,1,14,2
327,25900,2011,209750,1598,7,47,0
328,45900,2015,199000,1598,7,16,2
329,27800,2009,262144,1896,7,47,3
330,17700,2006,167000,1896,7,16,3
331,53700,2013,231000,1968,7,16,3
332,111900,2018,70250,1984,1,16,2
333,7000,1998,292000,1896,7,16,0
334,39500,2012,277000,1968,7,32,2
335,38999,2014,194000,1968,7,16,2
336,31300,2012,187900,1598,7,25,2
337,116900,2020,129000,1498,1,44,0
338,12000,2010,240000,1598,7,16,0
339,11900,2007,248900,1390,2,35,1
340,89900,2016,132000,1968,7,44,3
341,86900,2021,36500,1968,7,16,1
342,84500,2016,97000,1968,7,10,0
343,159900,2021,19900,1998,1,3,0
344,244382,2023,1500,1498,1,44,0
345,14950,2000,220671,1598,1,35,0
346,44650,2012,300000,1968,7,32,2
347,225000,2016,90000,1968,7,30,3
348,3500,1998,213500,1390,1,16,0
349,26000,2009,303500,1598,7,16,3
350,145000,2019,67000,1968,7,44,3
351,15400,2005,103000,1390,1,35,0
352,65000,2015,177000,1984,1,16,2
353,108800,2012,196000,2967,7,46,0
354,19500,2006,180000,1422,7,35,0
355,33900,2013,134000,1968,7,44,0
356,93900,2017,82859,1395,1,47,2
357,44900,2014,244600,1968,7,16,2
358,35500,1999,390000,2461,7,30,0
359,95900,2016,158000,1968,7,44,0
360,169000,2019,23450,1984,1,16,1
361,34500,2013,285000,1968,7,32,1
362,72500,2016,189000,1968,7,32,2
363,92000,2017,129500,1798,1,32,3
364,73900,2019,129881,1968,7,47,0
365,28500,2010,88000,1598,7,35,3
366,99000,2017,88000,1984,1,16,0
367,15900,2007,212500,1896,7,35,2
368,31500,2009,287000,1896,7,47,0
369,124900,2018,70000,1968,7,2,2
370,48700,2012,223529,1968,7,7,3
371,6700,1999,487000,1896,7,16,0
372,8500,2005,215000,1198,1,35,1
373,98800,2015,64801,1798,1,32,0
374,118900,2020,86000,1968,7,32,2
375,51000,2018,64000,999,1,35,2
376,45000,2013,249000,1968,7,32,2
377,35900,2012,184000,1390,1,16,2
378,65000,2017,150000,1968,7,32,0
379,257070,2022,4000,1984,1,44,0
380,85900,2016,231000,1968,7,48,2
381,79000,2017,163211,1395,1,47,2
382,22000,2009,260000,1390,1,16,3
383,65000,2016,184714,1598,7,47,2
384,53900,2012,250000,1968,7,44,2
385,44900,2010,207120,1968,7,16,0
386,11500,2006,230000,1896,7,47,0
387,52000,2014,104000,1390,1,10,2
388,43900,2012,203000,1984,1,10,3
389,58000,2015,211500,1968,7,16,2
390,13900,2007,393000,1968,7,32,2
391,41900,2014,154635,1598,7,16,2
392,28500,1997,460534,2500,7,30,0
393,19000,2010,295000,1598,7,16,2
394,54900,2017,259000,1968,7,16,2
395,62000,2015,238000,1968,7,32,2
396,16800,2008,206000,1896,7,16,2
397,69999,2015,261000,1984,1,32,2
398,78500,2016,210000,1984,1,32,1
399,104998,2018,183000,1968,7,32,2
400,22600,2008,212000,1595,1,16,3
401,24500,2009,260000,1968,7,16,0
402,446000,2022,13000,1968,7,8,0
403,19900,2007,217779,1896,7,47,2
404,72800,2017,125430,1798,1,32,1
405,29400,2011,221000,1598,7,32,2
406,99999,2017,172000,1968,7,44,2
407,6900,2001,100000,999,1,29,0
408,7900,2003,100000,1198,1,35,3
409,39900,2015,158000,1598,7,16,2
410,12900,2006,261400,1968,7,47,1
411,47000,2004,337000,2460,7,30,0
412,54800,2012,291000,1968,7,1,1
413,105000,2019,42700,1498,1,41,2
414,117000,2014,214000,1968,7,30,2
415,15900,2005,170000,1595,1,47,2
416,269000,2018,115000,2967,7,46,2
417,21900,2008,294000,1896,7,47,2
418,29999,2015,51000,999,1,49,2
419,21500,2012,242000,1598,7,35,2
420,80000,2013,47794,1968,7,44,0
421,55900,2013,240000,1968,7,44,2
422,24600,2009,151700,1390,1,16,3
423,42900,2013,285000,1968,7,32,3
424,29999,2012,264000,1968,7,47,0
425,26900,2013,131000,1199,7,35,3
426,89500,2017,161000,1498,1,2,2
427,72000,2016,129000,1798,1,32,2
428,71900,2014,155000,1968,7,32,2
429,110000,2017,78000,1968,7,32,2
430,12900,2003,249000,1984,1,32,0
431,142500,2015,156800,2967,7,46,2
432,39990,2015,220000,1968,7,47,1
433,16900,2004,310215,2496,7,32,0
434,22000,2008,336000,1968,7,32,3
435,38500,2012,316000,1968,7,32,2
436,53900,2015,237000,1968,7,32,2
437,13000,2005,330000,1896,7,39,0
438,24900,2007,147000,1896,7,47,0
439,6499,1998,311000,2792,2,39,3
440,93000,2018,47454,1498,1,16,0
441,45500,2017,176846,1968,7,9,0
442,39900,2014,278200,1390,1,10,2
443,19900,2004,369000,2460,7,46,2
444,25900,2011,245000,1598,7,16,0
445,74800,2018,151800,1968,7,32,2
446,45900,2013,263000,1968,7,16,2
447,51900,2017,225000,1598,7,16,2
448,64900,2013,174000,1968,7,10,3
449,52500,2018,141000,1598,7,16,2
450,89900,2018,120000,1968,7,32,2
451,42900,2015,201240,1598,7,16,2
